Date,Transaction_ID,Description,Type,Category,Amount,Balance
2025-01-02,TXN10363,Online Course Payment,DR,Education,914,-202393
2025-01-02,TXN10580,Local Grocery Store,DR,Groceries,1661,-546645
2025-01-02,TXN10693,Bus Ticket Booking,DR,Travel,348,-724462
2025-01-03,TXN10163,Supermarket POS,DR,Groceries,1688,64935
2025-01-03,TXN10355,Swiggy Order,DR,Food,4797,-186327
2025-01-03,TXN10072,Bus Ticket Booking,DR,Travel,904,64484
2025-01-04,TXN10705,Metro Card Recharge,DR,Transport,4435,-702420
2025-01-04,TXN10254,Book Purchase,DR,Education,1409,-131799
2025-01-05,TXN10712,Bus Ticket Booking,DR,Travel,1532,-720642
2025-01-06,TXN10332,Refund Received,CR,Income,7760,-187903
2025-01-07,TXN10946,Spotify Subscription,DR,Entertainment,2908,-740399
2025-01-07,TXN10513,Water Bill UPI,DR,Utilities,773,-507140
2025-01-07,TXN10328,Online Course Payment,DR,Education,1863,-187707
2025-01-07,TXN10323,Movie Tickets,DR,Entertainment,938,-281152
2025-01-07,TXN10681,Online Course Payment,DR,Education,756,-698413
2025-01-08,TXN10431,IRCTC Train Ticket,DR,Travel,1556,-344033
2025-01-08,TXN10598,Book Purchase,DR,Education,4960,-589538
2025-01-09,TXN10385,Spotify Subscription,DR,Entertainment,1454,-232713
2025-01-09,TXN10900,Swiggy Order,DR,Food,3659,-672033
2025-01-09,TXN10736,Salary Credit,CR,Income,16108,-715138
2025-01-09,TXN10172,Ola Ride,DR,Transport,3716,43241
2025-01-09,TXN10453,Uber Ride,DR,Transport,2587,-389747
2025-01-09,TXN10631,IRCTC Train Ticket,DR,Travel,609,-597549
2025-01-11,TXN10920,Electricity Bill UPI,DR,Utilities,217,-715343
2025-01-11,TXN10043,Flipkart Order,DR,Shopping,2342,3237
2025-01-12,TXN10117,Book Purchase,DR,Education,3006,28954
2025-01-12,TXN10746,Zomato Order,DR,Food,621,-686418
2025-01-12,TXN10981,Ola Ride,DR,Transport,2080,-790805
2025-01-12,TXN10221,Book Purchase,DR,Education,1430,-87825
2025-01-13,TXN10704,Book Purchase,DR,Education,562,-697985
2025-01-13,TXN10794,Book Purchase,DR,Education,1227,-658466
2025-01-13,TXN10157,Flipkart Order,DR,Shopping,4238,75905
2025-01-13,TXN10489,IRCTC Train Ticket,DR,Travel,3161,-459348
2025-01-13,TXN10506,Bus Ticket Booking,DR,Travel,3593,-493821
2025-01-14,TXN10250,IRCTC Train Ticket,DR,Travel,1169,-118768
2025-01-15,TXN10398,Metro Card Recharge,DR,Transport,3885,-263780
2025-01-15,TXN10153,Refund Received,CR,Income,9811,88532
2025-01-16,TXN10743,Electricity Bill UPI,DR,Utilities,3159,-683656
2025-01-16,TXN10462,Metro Card Recharge,DR,Transport,4845,-386063
2025-01-16,TXN10294,Mobile Recharge,DR,Utilities,1259,-206084
2025-01-17,TXN10050,Electricity Bill UPI,DR,Utilities,4888,32094
2025-01-17,TXN10819,ATM Withdrawal,DR,Cash,3782,-720268
2025-01-17,TXN10278,Bus Ticket Booking,DR,Travel,4951,-167047
2025-01-18,TXN10181,Electricity Bill UPI,DR,Utilities,634,23639
2025-01-19,TXN10604,ATM Withdrawal,DR,Cash,65,-547567
2025-01-19,TXN10174,Flipkart Order,DR,Shopping,3205,37074
2025-01-19,TXN10529,IRCTC Train Ticket,DR,Travel,2291,-547429
2025-01-21,TXN10574,Ola Ride,DR,Transport,3155,-527789
2025-01-21,TXN10152,Myntra Clothing,DR,Shopping,204,78721
2025-01-22,TXN10044,Online Course Payment,DR,Education,1325,1912
2025-01-22,TXN10738,IRCTC Train Ticket,DR,Travel,4207,-722265
2025-01-22,TXN10709,Swiggy Order,DR,Food,4448,-715876
2025-01-22,TXN10038,Netflix Subscription,DR,Entertainment,2776,14446
2025-01-25,TXN10185,Flipkart Order,DR,Shopping,1090,14887
2025-01-25,TXN10635,IRCTC Train Ticket,DR,Travel,4986,-614107
2025-01-25,TXN10542,Local Grocery Store,DR,Groceries,1317,-580698
2025-01-26,TXN10262,Book Purchase,DR,Education,4081,-140907
2025-01-26,TXN10937,Supermarket POS,DR,Groceries,2659,-714931
2025-01-26,TXN10100,Reliance Smart,DR,Groceries,3397,31289
2025-01-28,TXN10137,Dominos Pizza,DR,Food,880,58541
2025-01-28,TXN10841,Local Grocery Store,DR,Groceries,1345,-753826
2025-01-28,TXN10710,Spotify Subscription,DR,Entertainment,2297,-718173
2025-01-29,TXN10690,Myntra Clothing,DR,Shopping,2409,-718831
2025-01-29,TXN10340,Supermarket POS,DR,Groceries,2772,-194277
2025-01-30,TXN10978,IRCTC Train Ticket,DR,Travel,844,-784848
2025-01-30,TXN10338,Flipkart Order,DR,Shopping,2143,-188872
2025-01-30,TXN10372,ATM Withdrawal,DR,Cash,2918,-230029
2025-01-30,TXN10706,Swiggy Order,DR,Food,3640,-706060
2025-01-30,TXN10672,Water Bill UPI,DR,Utilities,291,-672443
2025-01-31,TXN10126,ATM Withdrawal,DR,Cash,4961,-6878
2025-01-31,TXN10244,Reliance Smart,DR,Groceries,4739,-107014
2025-02-02,TXN10176,Uber Ride,DR,Transport,1623,33903
2025-02-02,TXN10520,Book Purchase,DR,Education,1972,-524056
2025-02-02,TXN10616,Flipkart Order,DR,Shopping,2331,-566711
2025-02-03,TXN10123,Restaurant Dinner,DR,Food,4917,2074
2025-02-03,TXN10549,Dominos Pizza,DR,Food,3510,-596107
2025-02-04,TXN10213,Amazon Shopping,DR,Shopping,4607,-71078
2025-02-04,TXN10568,Mobile Recharge,DR,Utilities,3304,-508387
2025-02-04,TXN10394,Movie Tickets,DR,Entertainment,990,-252695
2025-02-05,TXN10386,Myntra Clothing,DR,Shopping,981,-233694
2025-02-06,TXN10545,Swiggy Order,DR,Food,3531,-589306
2025-02-06,TXN10102,Myntra Clothing,DR,Shopping,4516,25937
2025-02-06,TXN10055,Mobile Recharge,DR,Utilities,1502,17579
2025-02-07,TXN10603,Reliance Smart,DR,Groceries,3580,-547502
2025-02-09,TXN10747,Zomato Order,DR,Food,2045,-688463
2025-02-10,TXN10202,IRCTC Train Ticket,DR,Travel,3422,-33003
2025-02-11,TXN10955,Metro Card Recharge,DR,Transport,3485,-762062
2025-02-11,TXN10481,Reliance Smart,DR,Groceries,3806,-438824
2025-02-12,TXN10564,Supermarket POS,DR,Groceries,2493,-543718
2025-02-12,TXN10146,Refund Received,CR,Income,46461,88563
2025-02-13,TXN10991,Movie Tickets,DR,Entertainment,155,-821880
2025-02-13,TXN10925,Uber Ride,DR,Transport,1898,-678217
2025-02-14,TXN10320,Amazon Shopping,DR,Shopping,3017,-275351
2025-02-15,TXN10623,IRCTC Train Ticket,DR,Travel,1780,-583639
2025-02-15,TXN10013,Bus Ticket Booking,DR,Travel,879,14226
2025-02-15,TXN10034,Spotify Subscription,DR,Entertainment,2654,28704
2025-02-16,TXN10486,Cafe Coffee Day,DR,Food,4219,-448243
2025-02-17,TXN10477,Swiggy Order,DR,Food,1711,-426776
2025-02-18,TXN10899,ATM Withdrawal,DR,Cash,923,-668374
2025-02-18,TXN10427,Supermarket POS,DR,Groceries,4980,-335065
2025-02-21,TXN10682,Mobile Recharge,DR,Utilities,3292,-701705
2025-02-22,TXN10554,Movie Tickets,DR,Entertainment,259,-582066
2025-02-22,TXN10557,Spotify Subscription,DR,Entertainment,279,-585645
2025-02-23,TXN10822,Book Purchase,DR,Education,2205,-725582
2025-02-23,TXN10544,IRCTC Train Ticket,DR,Travel,2960,-585775
2025-02-24,TXN10774,ATM Withdrawal,DR,Cash,389,-668393
2025-02-25,TXN10602,Refund Received,CR,Income,55684,-543922
2025-02-26,TXN10558,Salary Credit,CR,Income,56567,-529078
2025-02-26,TXN10435,Dominos Pizza,DR,Food,4741,-355282
2025-02-28,TXN10782,Flipkart Order,DR,Shopping,1310,-684832
2025-02-28,TXN10642,Local Grocery Store,DR,Groceries,1475,-630481
2025-02-28,TXN10812,Zomato Order,DR,Food,4214,-702794
2025-02-28,TXN10829,IRCTC Train Ticket,DR,Travel,3197,-723472
2025-02-28,TXN10827,Supermarket POS,DR,Groceries,325,-715637
2025-02-28,TXN10530,IRCTC Train Ticket,DR,Travel,1098,-548527
2025-03-01,TXN10577,Bus Ticket Booking,DR,Travel,4801,-538448
2025-03-01,TXN10098,Refund Received,CR,Income,27377,38424
2025-03-02,TXN10252,Dominos Pizza,DR,Food,4868,-128226
2025-03-02,TXN10089,Uber Ride,DR,Transport,466,38381
2025-03-03,TXN10139,Ola Ride,DR,Transport,1643,53103
2025-03-04,TXN10939,IRCTC Train Ticket,DR,Travel,3209,-720615
2025-03-05,TXN10272,Supermarket POS,DR,Groceries,3852,-150356
2025-03-05,TXN10005,Petrol Pump POS,DR,Transport,4729,32300
2025-03-05,TXN10471,Movie Tickets,DR,Entertainment,3130,-413191
2025-03-05,TXN10016,Ola Ride,DR,Transport,85,9396
2025-03-05,TXN10200,Flipkart Order,DR,Shopping,1001,-26424
2025-03-06,TXN10077,Uber Ride,DR,Transport,2760,53272
